Initial ERD Field Names,Updated ERD Field Names,LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,Field Lighboxdata aligned
access,access,_constructionclassid,$Price/Unit,access
acres,activity_description,_sourceforsfareaid,Amenities,acres
annualrentpersf,appraisal_usage,Assessment_historicallandvalue2,Anchor GLA,anchor_type
area_category,assigned_to_user_id,Assessment_historicaltaxes3,Anchor Tenants,appraisal_file
activestatus,actual_price,Assessment_assessmentcomments,Architect Name,activestatus
activity_description,added_at,Assessment_assessmentyear,Average Weighted Rent,activity_description
added_at,address,Assessment_assessorwebsite,Avg Rent-Direct (Industrial),actual_price
address,adjustment_comments,Assessment_basetaxes,Avg Rent-Direct (Office),added_at
adjustmentcomments,affordability_status,Assessment_equalizationratio,Avg Rent-Direct (Retail),address
adr,all_utilities_to_site,Assessment_historicalassessedvalue1,Avg Rent-Sublet (Industrial),adjustment_comments
affordabilitystatus,allowable_floor_area_sf,Assessment_historicalassessedvalue2,Avg Rent-Sublet (Office),adr
allowablefloorareasf,allowable_units,Assessment_historicalassessedvalue3,Avg Rent-Sublet (Retail),affordability_status
allowableunits,anchor_tenants,Assessment_historicalassessedvalue4,Building Class,all_utilities_to_site
allutilities,anchor_type,Assessment_historicalimprovvalue1,Building Operating Expenses,allowable_floor_area_sf
amenities,ancillary_buildings,Assessment_historicalimprovvalue2,Building Park,allowable_units
anchors,annual_rent_per_sf,Assessment_historicalimprovvalue3,Building Status,allutilities
anchortype,appraisal_date,Assessment_historicalimprovvalue4,Building Tax Expenses,amenities
ancillarybuildings,appraisal_file,Assessment_historicallandvalue1,Cap Rate,anchor_tenants
baths,basement_use_and_finish,Assessment_Subparcels_assessinfoid,Ceiling Ht,back_yard_distance
appraisaldate,appraised_value,Assessment_historicallandvalue3,City,anchors
appraisalfile,area_category,Assessment_historicallandvalue4,Closest Transit Stop,ancillary_buildings
appraisalusage,area_in_flood_zone,Assessment_historicaltaxes1,Closest Transit Stop Dist (mi),annual_rent_per_sf
appraisedvalue,assessment_year,Assessment_historicaltaxes2,Closest Transit Stop Walk Time (min),appraisal_date
areainfloodzone,attribution_id,Assessment_historicaltaxes4,Constr Status,appraisal_usage
assigned_to_user_id,audit_log_id,Assessment_historicalyear1,Construction Begin,appraised_value
attribution_id,average_daily_rate,Assessment_historicalyear2,Construction Material,area_category
audit_log_id,avg_asking_rent_sf,Assessment_historicalyear3,Continent,area_in_flood_zone
authority,avg_cap_rate,Assessment_historicalyear4,Core Factor,assessment_year
avgmfunitsize,avg_mf_unit_size,Assessment_impliedvalue,Country,assigned_to_user_id
backyarddistance,back_yard_distance,Assessment_improvementassessment,County Name,attribution_id
basementsize,base_rent_per_mo,Assessment_landassessment,Cross Street,audit_log_id
basementuseandfinish,base_rent_per_year,Assessment_marketvalue,Days On Market,authority
baserentpermo,base_rent_sf,Assessment_otherassessment,Developer Name,average_daily_rate
baserentperyear,base_rent_sf_mo,Assessment_specialassessments,Direct Available Space,avg_asking_rent_sf
baserentsf,base_taxes,Assessment_Subparcels OLD_impliedvalue,Direct Services,avg_cap_rate
baserentsfmo,basement_size,Assessment_Subparcels_,Direct Vacant Space,avg_mf_unit_size
bedrooms,book_page_or_ref_doc,Assessment_Subparcels_assessmentyear,Energy Star,base_rent_per_mo
beds,boundary_comments,Assessment_Subparcels_basetaxes,Exp Year,base_rent_per_year
bookpageorrefdoc,buildable_sf,Assessment_Subparcels_equalizationratio,Features,base_rent_sf
buildablesf,building_amenities,Assessment_Subparcels_id,Fema Flood Zone,base_rent_sf_mo
buildingclass,building_class,Assessment_Subparcels_impliedvalue,FEMA Map Date,base_taxes
buildingdescription,building_condition,Assessment_Subparcels_improvementassessment,FEMA Map Identifier,basement_size
businessvalueadjustment,building_description,Assessment_Subparcels_isdeleted,FIRM ID,basement_use_and_finish
buyertype,building_features,Assessment_Subparcels_landassessment,FIRM Panel Number,baths
caprate,building_quality,Assessment_Subparcels_marketvalue,Flood Risk Area,bedrooms
category,business_value_adjustment,Assessment_Subparcels_otherassessment,Floodplain Area,beds
cbsa_id,buyer_type,Assessment_Subparcels_specialassessments,For Sale Price,book_page_or_ref_doc
cbsa_name,cap_rate,Assessment_Subparcels_taxes,For Sale Status,boundary_comments
ceilingheight,care_type_comments,Assessment_Subparcels_taxid,Fund Name,buildable_sf
censusblock,ceiling_height,Assessment_Subparcels_taxingauthority,Gas,building_amenities
censustract,clean_up_costs,Assessment_Subparcels_taxrate,Heating,building_class
city,clear_height,Assessment_Subparcels_taxratecode,In SFHA,building_condition
cleanupcosts,client_name,Assessment_Subparcels_taxrateper,Land Area (AC),building_description
clearheight,column_spacing,Assessment_Subparcels_taxyear,Land Area (SF),building_features
client_name,comm_lease_comments,Assessment_Subparcels_totalassessment,Last Sale Date,building_quality
columnspacing,comm_lease_notes,Assessment_taxes,Last Sale Price,business_value_adjustment
comments,comm_lease_survey_date,Assessment_taxesperacre,Latitude,buyer_type
commercial_survey_id,comm_lease_terms,Assessment_taxespergbam2,Leasing Company Address,cap_rate
commleasecomments,comm_lease_type,Assessment_taxesperhectares,Leasing Company City State Zip,care_type_comments
commleasenotes,comm_rent_concessions,Assessment_taxesperlandm2,Leasing Company Contact,category
commleasesurveydate,comm_rent_per_sf_max,Assessment_taxesperlandsf,Leasing Company Fax,cbsa_id
commleaseterms,comm_rent_per_sf_min,Assessment_taxesperlandunit,Leasing Company Name,cbsa_name
commleasetype,comm_size_max,Assessment_taxesperra,Leasing Company Phone,ceiling_height
commrentconcessions,comm_size_min,Assessment_taxesperram2,LEED Certified,censusblock
commrentpersfmax,comm_vacancy_rate,Assessment_taxespersfgba,Longitude,censustract
commrentpersfmin,comm_verification_source,Assessment_taxesperunit,Market Name,city
commvacancy,conditions_of_sale,Assessment_taxrateper,Market Segment,comm_lease_comments
commsizemax,commercial_survey_id,Assessment_taxid,Max Building Contiguous Space,clean_up_costs
commsizemin,community_fee_max,Assessment_taxingauthority,Max Floor Contiguous Space,clear_height
