tab,cell,row,col,value,field_type,formula
Income Approach Setup,G7,7,G,Income Approach Setting,user_entry,
Income Approach Setup,H7,7,H,Value,user_entry,
Income Approach Setup,G8,8,G,How many Lease Grids are needed?,user_entry,
Income Approach Setup,H8,8,H,1.0,user_entry,
Income Approach Setup,J8,8,J,1 to 3,user_entry,
Income Approach Setup,K8,8,K,pvaIncomeApproach_QtyLeaseGrids,user_entry,
Income Approach Setup,G9,9,G,How many historical financials will you spread?,user_entry,
Income Approach Setup,H9,9,H,1.0,user_entry,
Income Approach Setup,J9,9,J,Max = 7,user_entry,
Income Approach Setup,K9,9,K,pvaIncomeApproach_QtyStatements,user_entry,
Income Approach Setup,G10,10,G,How does your market quote rental rates?,user_entry,
Income Approach Setup,H10,10,H,$/SF/Mo,user_entry,
Income Approach Setup,K10,10,K,pvaIncomeApproach_RentalRateMethod,user_entry,
Income Approach Setup,G11,11,G,Do you have a budget to spread?,user_entry,
Income Approach Setup,H11,11,H,No,user_entry,
Income Approach Setup,K11,11,K,pvaIncomeApproach_HasBudget,user_entry,
Income Approach Setup,G12,12,G,Do you need to present Lease Abstracts?,user_entry,
Income Approach Setup,H12,12,H,No,user_entry,
Income Approach Setup,K12,12,K,pvaIncomeApproach_HasLeaseAbstracts,user_entry,
Income Approach Setup,G13,13,G,Is the subject stabilized?,user_entry,
Income Approach Setup,H13,13,H,Yes,user_entry,
Income Approach Setup,K13,13,K,pvaIncomeApproach_IsStabilized,user_entry,
Income Approach Setup,B14,14,B,Direct Cap only,user_entry,
Income Approach Setup,C14,14,C,a Direct Capitalization Approach only,user_entry,
Income Approach Setup,G14,14,G,How many projections are needed?,user_entry,
Income Approach Setup,H14,14,H,1.0,user_entry,
Income Approach Setup,J14,14,J,"Min = 1, Max = 6",user_entry,
Income Approach Setup,K14,14,K,pvaIncomeApproach_QtyProjections,user_entry,
Income Approach Setup,B15,15,B,DCF only,user_entry,
Income Approach Setup,C15,15,C,a Discounted Cash Flow Analysis only,user_entry,
Income Approach Setup,G15,15,G,Include Reserves in Operating Expense Ratio?,user_entry,
Income Approach Setup,H15,15,H,No,user_entry,
Income Approach Setup,K15,15,K,pvaIncomeApproach_IncReservesOpExRatio,user_entry,
Income Approach Setup,A16,16,A,**SELECT ONE>>,user_entry,
Income Approach Setup,B16,16,B,Both,user_entry,
Income Approach Setup,C16,16,C,both a Direct Capitalization Approach and a Discounted Cash Flow Analysis,user_entry,
Income Approach Setup,G16,16,G,"Do you need a Direct Cap, DCF, or both",user_entry,
Income Approach Setup,J16,16,J,Choose,user_entry,
Income Approach Setup,K16,16,K,pvaIncomeApproach_MethodsUsed,user_entry,
Income Approach Setup,C17,17,C,"a Rooms Revenue Multiplier Approach, a Direct Capitalization Approach, and a Discounted Cash Flow Analysis",user_entry,
Income Approach Setup,G17,17,G,Narrative associated from choice above,user_entry,
Income Approach Setup,K17,17,K,N1_txtIncomeApproach_MethodsUsed,user_entry,
Income Approach Setup,G18,18,G,Which DCF Software are you using?,user_entry,
Income Approach Setup,K18,18,K,pvaIncomeApproach_DcfSoftwareUsed,user_entry,
Income Approach Setup,G19,19,G,Senior Housing: Show full COA for Hist. Input Dropdowns,user_entry,
Income Approach Setup,H19,19,H,No,user_entry,
Income Approach Setup,K19,19,K,pvaIncomeApproach_ShowFullCOAList,user_entry,
Income Approach Setup,G20,20,G,Conventional Multifamily: Show Expense Reimbursements in Other Revenue Section,user_entry,
Income Approach Setup,H20,20,H,No,user_entry,
Income Approach Setup,K20,20,K,pvaIncomeApproach_MFExpenseReimbursements,user_entry,
Income Approach Setup,G24,24,G,*NEW* Expense Comp Import Filters (beta),user_entry,
Income Approach Setup,M24,24,M,first row,user_entry,
Income Approach Setup,N24,24,N,last row,user_entry,
Income Approach Setup,G25,25,G,Property Type,user_entry,
Income Approach Setup,H25,25,H,MultiFamily,user_entry,
Income Approach Setup,M25,25,M,31.0,user_entry,
Income Approach Setup,N25,25,N,48.0,user_entry,
Income Approach Setup,G26,26,G,Keep only most recent P&L stmt per property,user_entry,
Income Approach Setup,H26,26,H,Yes,user_entry,
Income Approach Setup,K26,26,K,pvaIncomeApproach_KeepOnlyMostRecentStmt,user_entry,
Income Approach Setup,G27,27,G,Import financials in this year and newer than this year,user_entry,
Income Approach Setup,H27,27,H,2025.0,user_entry,
Income Approach Setup,G28,28,G,Property Subtype 1,user_entry,
Income Approach Setup,G29,29,G,Property Subtype 2,user_entry,
Income Approach Setup,G30,30,G,Property Subtype 3,user_entry,
Income Approach Setup,G31,31,G,Property Subtype 4,user_entry,
Income Approach Setup,G32,32,G,Property Subtype 5,user_entry,
Income Approach Setup,A33,33,A,<Property Subtypes,user_entry,
Income Approach Setup,G33,33,G,State(s): comma-separate multiple states,user_entry,
Income Approach Setup,H33,33,H,CA,user_entry,
Income Approach Setup,J33,33,J,"Ex: VA, DC, MD",user_entry,
Income Approach Setup,G34,34,G,MSA (1 only),user_entry,
Income Approach Setup,G35,35,G,Min Units,user_entry,
Income Approach Setup,J35,35,J,Ex: 250,user_entry,
Income Approach Setup,G36,36,G,Max Units,user_entry,
Income Approach Setup,J36,36,J,Ex: 550,user_entry,
