Merged ERD Fields,Field Lightboxdata aligned,Field CoStar Data,Field CoStar aligned
access,Sites_access,$Price/Unit,
acres,Sites_acres,Amenities,
activestatus,Sales_activestatus,Architect Name,
activity_description,,Average Weighted Rent,
actual_price,,Avg Rent-Direct (Industrial),
added_at,,Avg Rent-Direct (Office),
address,Parcel_address,Avg Rent-Direct (Retail),
adjustment_comments,Sales_adjustmentcomments,Avg Rent-Sublet (Industrial),
adr,Improvement_adr,Avg Rent-Sublet (Office),
affordability_status,Unit Lease_affordabilitystatus,Avg Rent-Sublet (Retail),
all_utilities_to_site,Sites_allutilities,Building Class,
allowable_floor_area_sf,Sites_allowablefloorareasf,Building Operating Expenses,
allowable_units,Sites_allowableunits,Building Park,
allutilities,Sites_utilities,Building Status,
amenities,Improvement_amenities,Building Tax Expenses,
anchor_tenants,,Cap Rate,
anchor_type,Rent Roll_anchortype,Ceiling Ht,
anchors,Rent Roll Summary_anchors,City,
ancillary_buildings,Improvement_ancillarybuildings,Closest Transit Stop,
annual_rent_per_sf,,Closest Transit Stop Dist (mi),
appraisal_date,Sales_appraisaldate,Closest Transit Stop Walk Time (min),
appraisal_file,Parcel_appraisalfile,Column Spacing,
appraisal_usage,Parcel_appraisalusage,Constr Status,
appraised_value,Sales_appraisedvalue,Construction Begin,
area_category,Unit Lease_category,Construction Material,
area_in_flood_zone,Sites_areainfloodzone,Continent,
assessment_year,,Core Factor,
assigned_to_user_id,,Country,
attribution_id,,County Name,
audit_log_id,,Cross Street,
authority,,Days On Market,
average_daily_rate,,Developer Name,
avg_asking_rent_sf,,Direct Available Space,
avg_cap_rate,Sales_caprate,Direct Services,
avg_mf_unit_size,Unit Lease Summary_avgmfunitsize,Direct Vacant Space,
back_yard_distance,,Drive Ins,
base_rent_per_mo,Rent Roll_baserentpermo,Energy Star,
base_rent_per_year,Rent Roll_baserentperyear,Exp Year,
base_rent_sf,,Features,
base_rent_sf_mo,,Fema Flood Zone,
base_taxes,Assessment_basetaxes,FEMA Map Date,
basement_size,Improvement_basementsize,FEMA Map Identifier,
basement_use_and_finish,Improvement_basementuseandfinish,FIRM ID,
baths,Unit Lease_baths,FIRM Panel Number,
bedrooms,Unit Lease_bedrooms,Flood Risk Area,
beds,Unit Lease_beds,Floodplain Area,
book_page_or_ref_doc,Sales_bookpageorrefdoc,For Sale Price,
boundary_comments,,For Sale Status,
buildable_sf,,Fund Name,
building_amenities,,Gas,
building_class,Improvement_buildingclass,Heating,
building_condition,,In SFHA,
building_description,Improvement_BuildingDescription,Land Area (AC),
building_features,,Land Area (SF),
building_quality,,Last Sale Date,
business_value_adjustment,Sales_businessvalueadjustment,Last Sale Price,
buyer_type,Sales_buyertype,Latitude,
cap_rate,Sales_toscaprate,Leasing Company Address,
care_type_comments,Unit Lease Summary_shcaretypecomments,Leasing Company City State Zip,
category,,Leasing Company Contact,
cbsa_id,Parcel_cbsa_id,Leasing Company Fax,
cbsa_name,Parcel_cbsa_name,Leasing Company Name,
ceiling_height,Improvement_ceilingheight,Leasing Company Phone,
censusblock,Parcel_censusblock,LEED Certified,
censustract,Parcel_censustract,Longitude,
city,Parcel_city,Market Name,
clean_up_costs,Sales_cleanupcosts,Max Building Contiguous Space,
clear_height,Improvement_clearheight,Max Floor Contiguous Space,
client_name,,Month Built,
column_spacing,Improvement_columnspacing,Month Renovated,
comm_lease_comments,Rent Roll Summary_commleasecomments,Number Of Cranes,
comm_lease_notes,Rent Roll Summary_commleasenotes,Number Of Elevators,
comm_lease_survey_date,Rent Roll Summary_commleasesurveydate,Number Of Loading Docks,
comm_lease_terms,Rent Roll Summary_commleaseterms,Number Of Parking Spaces,
comm_lease_type,Rent Roll Summary_CommLeaseType,Number Of Stories,
comm_rent_concessions,Rent Roll Summary_commrentconcessions,Office Space,
comm_rent_per_sf_max,,Operation Type,
comm_rent_per_sf_min,,Operational Status,
comm_size_max,,Ops Expense,
comm_size_min,,Ops Expense Per SF,
comm_vacancy_rate,,Owner Address,
comm_verification_source,Sales_verificationsource,Owner City State Zip,
commercial_survey_id,,Owner Contact,
community_fee_max,Unit Lease_communityfeemax,Owner Name,
community_fee_min,Unit Lease_communityfeemin,Owner Phone,
commvacancy,Rent Roll Summary_commvacancy,Parcel Number 1(Min),
concessions,Rent Roll_concessions,Parcel Number 2(Max),
condition_id,Improvement_condition,Parent Company,
conditions_of_sale,Sales_conditionsofsale,Parking Ratio,
conditions_of_sale_adjustment,Sales_conditionsofsaleadjustment,Parking Spaces/Unit,
confidential,Sales_confidential,Percent Leased,
construction_class,Improvement_constructionclass,Power,
construction_type,Improvement_construction,Pre-Leasing,
contract_rent_max,Unit Lease_contractrentmax,Primary Agent Name,
contract_rent_min,Unit Lease_contractrentmin,Primary Corridors,
cooling_id,Improvement_cooling,Property Address,
cooling_type,,Property Location,
corner,Sites_corner,Property Manager Address,
costs_to_finish,Rent Roll_coststofinish,Property Manager City State Zip,
country,Parcel_country,Property Manager Contact,
county,Parcel_county,Property Manager Name,
covered_parking_spaces,Improvement_coveredparkingspaces,Property Manager Phone,
craneways,Improvement_craneways,Property Name,
created_at,,PropertyID,
created_by_user_id,,PropertyType,
createdby,Parcel_createdby,Proposed Land Use,
current_list_price,Sales_currentlistprice,Rail Lines,
current_lp_percent_diff,Sales_currentlppercentdiff,RBA,
current_rent_per_mo,Rent Roll_CurrentRentPerMo,Recorded Owner Address,
current_use,Sales_currentuse,Recorded Owner City State Zip,
custom_fields,,Recorded Owner Contact,
