Source Tab,Source Field,Used By Tab,Used For
Change Log,Extracted from formula,File Info,Used in Template (T15)
Scope,Extracted from formula,"Dates, Premises",Used in Prior Services (I61)
Market Rent,Extracted from formula,"Contracts, History",Used in Unknown_Field_X107 (X107)
Market Rent,Extracted from formula,"Contracts, History",Used in Unknown_Field_AJ138 (AJ138)
Zoning,Extracted from formula,Site,Used in Zoning Change Likely? (EI358)
Cost,Extracted from formula,Improvements,Used in Number of Buildings (AB24)
Sales Approach,Extracted from formula,Improvements,Used in Building 1 (AB82)
MF Market Rent,Extracted from formula,Improvements,Used in Sum (AB92)
Site,Extracted from formula,Improvements,Used in Hide (AP234)
Site,Extracted from formula,Improvements,Used in Show (AQ234)
Site,Extracted from formula,Improvements,Used in Hide (AR234)
Site,Extracted from formula,Improvements,Used in Unknown_Field_AS234 (AS234)
Site,Extracted from formula,Improvements,Used in Hide (AT234)
Site,Extracted from formula,Improvements,Used in Hide (AU234)
Site,Extracted from formula,Improvements,Used in Hide (AV234)
Site,Extracted from formula,Improvements,Used in Hide (AW234)
Site,Extracted from formula,Improvements,Used in Hide (AY234)
Site,Extracted from formula,Improvements,Used in Hide (BA234)
Site,Extracted from formula,Improvements,Used in Hide (BA235)
DCF Proj1,Extracted from formula,Improvements,Used in Unknown_Field_EV765 (EV765)
DCF Proj1,Extracted from formula,Improvements,Used in Unknown_Field_EV766 (EV766)
"Dates, Premises",Extracted from formula,Improvements,Used in Auto (GL801)
"Dates, Premises",Extracted from formula,Improvements,Used in Auto (GM801)
"Dates, Premises",Extracted from formula,Improvements,Used in Auto (GN801)
"Dates, Premises",Extracted from formula,Improvements,Used in Deferred Maintenance (GL802)
"Dates, Premises",Extracted from formula,Improvements,Used in Deferred Maintenance (GM802)
"Dates, Premises",Extracted from formula,Improvements,Used in Deferred Maintenance (GN802)
NPV of AboveBelow Market Rent,Extracted from formula,Improvements,Used in NPV of Above/Below Market Rent (GI805)
NPV of AboveBelow Market Rent,Extracted from formula,Improvements,Used in NPV of Above/Below Market Rent (GJ805)
NPV of AboveBelow Market Rent,Extracted from formula,Improvements,Used in NPV of Above/Below Market Rent (GK805)
NPV of AboveBelow Market Rent,Extracted from formula,Improvements,Used in NPV of Above/Below Market Rent (GL805)
NPV of AboveBelow Market Rent,Extracted from formula,Improvements,Used in NPV of Above/Below Market Rent (GM805)
NPV of AboveBelow Market Rent,Extracted from formula,Improvements,Used in NPV of Above/Below Market Rent (GN805)
Site,Extracted from formula,Assessment,Used in Sum (T41)
Site,Extracted from formula,Assessment,Used in Sum (U41)
Site,Extracted from formula,Assessment,Used in Sum (V41)
Site,Extracted from formula,Assessment,Used in Sum (W41)
Site,Extracted from formula,Assessment,Used in Unknown_Field_X41 (X41)
Site,Extracted from formula,Assessment,Used in Unknown_Field_Y41 (Y41)
Site,Extracted from formula,Assessment,Used in Unknown_Field_Z41 (Z41)
Site,Extracted from formula,Assessment,Used in Unknown_Field_AA41 (AA41)
