Source Tab,Target Tab,Relationship
PartnerLists,Land Valuation,'Land Valuation' pulls data from 'PartnerLists'
Rent Roll Config,MF Market Rent,'MF Market Rent' pulls data from 'Rent Roll Config'
Value Allocation GC,Assessment,'Assessment' pulls data from 'Value Allocation GC'
Lease Grid,Rent Comp Profiles,'Rent Comp Profiles' pulls data from 'Lease Grid'
Cost Approach,DirectCapConclusion,'DirectCapConclusion' pulls data from 'Cost Approach'
Salient Facts,MF Lease Up,'MF Lease Up' pulls data from 'Salient Facts'
"Dates, Premises",Assessment,"'Assessment' pulls data from 'Dates, Premises'"
Improvements,DirectCapConclusion,'DirectCapConclusion' pulls data from 'Improvements'
Improvements,Lease Grid,'Lease Grid' pulls data from 'Improvements'
SaleCompProfileSetup,Land Comp Profiles,'Land Comp Profiles' pulls data from 'SaleCompProfileSetup'
Site,Assessment,'Assessment' pulls data from 'Site'
DCF Proj1,Improvements,'Improvements' pulls data from 'DCF Proj1'
RentCompProfileSetup,Rent Comp Profiles,'Rent Comp Profiles' pulls data from 'RentCompProfileSetup'
MF Market Rent,Market Rent,'Market Rent' pulls data from 'MF Market Rent'
Market Rent,Rent Comp Profiles,'Rent Comp Profiles' pulls data from 'Market Rent'
ProForma,Assessment,'Assessment' pulls data from 'ProForma'
PartnerLists,Sales Approach,'Sales Approach' pulls data from 'PartnerLists'
MF Market Rent,Improvements,'Improvements' pulls data from 'MF Market Rent'
DirectCapConclusion,MF Lease Up,'MF Lease Up' pulls data from 'DirectCapConclusion'
PartnerLists,Income Approach Setup,'Income Approach Setup' pulls data from 'PartnerLists'
PartnerLists,Market Rent,'Market Rent' pulls data from 'PartnerLists'
MF Market Rent,MF Lease Up,'MF Lease Up' pulls data from 'MF Market Rent'
Market Rent,Assessment,'Assessment' pulls data from 'Market Rent'
Change Log,File Info,'File Info' pulls data from 'Change Log'
Rent Roll,Market Rent,'Market Rent' pulls data from 'Rent Roll'
DCF Proj1,DirectCapConclusion,'DirectCapConclusion' pulls data from 'DCF Proj1'
Zoning,Site,'Site' pulls data from 'Zoning'
Rent Roll,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'Rent Roll'
Sales Approach,Market Rent,'Market Rent' pulls data from 'Sales Approach'
ProForma,Sales Approach,'Sales Approach' pulls data from 'ProForma'
"Dates, Premises",Improvements,"'Improvements' pulls data from 'Dates, Premises'"
SaleCompProfileSetup,Sale Comp Profiles,'Sale Comp Profiles' pulls data from 'SaleCompProfileSetup'
Lease Grid,Market Rent,'Market Rent' pulls data from 'Lease Grid'
DCF Assumptions,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'DCF Assumptions'
tblMarketDataInfo,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'tblMarketDataInfo'
Market Rent,Sales Approach,'Sales Approach' pulls data from 'Market Rent'
Lease Grid MF Unit Mix,Market Rent,'Market Rent' pulls data from 'Lease Grid MF Unit Mix'
Sales Approach,Improvements,'Improvements' pulls data from 'Sales Approach'
Market Rent (3),MF Market Rent,'MF Market Rent' pulls data from 'Market Rent (3)'
Site,Improvements,'Improvements' pulls data from 'Site'
Improvements,Sales Grid,'Sales Grid' pulls data from 'Improvements'
Improvements,Sales Approach,'Sales Approach' pulls data from 'Improvements'
Sales Approach,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'Sales Approach'
Market Rent,"Contracts, History","'Contracts, History' pulls data from 'Market Rent'"
DCF Assumptions,Investor Survey Output,'Investor Survey Output' pulls data from 'DCF Assumptions'
ProForma,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'ProForma'
Improvements,Market Rent,'Market Rent' pulls data from 'Improvements'
ProForma,MF Lease Up,'MF Lease Up' pulls data from 'ProForma'
MF Market Rent,Rent Comp Profiles,'Rent Comp Profiles' pulls data from 'MF Market Rent'
DirectCapConclusion,Land Valuation,'Land Valuation' pulls data from 'DirectCapConclusion'
Scope,"Dates, Premises","'Dates, Premises' pulls data from 'Scope'"
Sales Approach,DirectCapConclusion,'DirectCapConclusion' pulls data from 'Sales Approach'
Scope,DirectCapConclusion,'DirectCapConclusion' pulls data from 'Scope'
Cost,Improvements,'Improvements' pulls data from 'Cost'
NPV of AboveBelow Market Rent,Improvements,'Improvements' pulls data from 'NPV of AboveBelow Market Rent'
Market Rent,MF Market Rent,'MF Market Rent' pulls data from 'Market Rent'
Market Rent (2),MF Market Rent,'MF Market Rent' pulls data from 'Market Rent (2)'
Capitalization and Multipliers,Investor Survey Output,'Investor Survey Output' pulls data from 'Capitalization and Multipliers'
ProForma,DirectCapConclusion,'DirectCapConclusion' pulls data from 'ProForma'
