Source Tab,Target Tab,Relationship
Capitalization and Multipliers,Investor Survey Output,'Investor Survey Output' pulls data from 'Capitalization and Multipliers'
Change Log,File Info,'File Info' pulls data from 'Change Log'
Cost,Improvements,'Improvements' pulls data from 'Cost'
Cost Approach,DirectCapConclusion,'DirectCapConclusion' pulls data from 'Cost Approach'
DCF Assumptions,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'DCF Assumptions'
DCF Assumptions,Investor Survey Output,'Investor Survey Output' pulls data from 'DCF Assumptions'
DCF Proj1,DirectCapConclusion,'DirectCapConclusion' pulls data from 'DCF Proj1'
DCF Proj1,Improvements,'Improvements' pulls data from 'DCF Proj1'
"Dates, Premises",Assessment,"'Assessment' pulls data from 'Dates, Premises'"
"Dates, Premises",Improvements,"'Improvements' pulls data from 'Dates, Premises'"
DirectCapConclusion,Land Valuation,'Land Valuation' pulls data from 'DirectCapConclusion'
DirectCapConclusion,MF Lease Up,'MF Lease Up' pulls data from 'DirectCapConclusion'
Improvements,DirectCapConclusion,'DirectCapConclusion' pulls data from 'Improvements'
Improvements,Lease Grid,'Lease Grid' pulls data from 'Improvements'
Improvements,Market Rent,'Market Rent' pulls data from 'Improvements'
Improvements,Sales Approach,'Sales Approach' pulls data from 'Improvements'
Improvements,Sales Grid,'Sales Grid' pulls data from 'Improvements'
Lease Grid,Market Rent,'Market Rent' pulls data from 'Lease Grid'
Lease Grid,Rent Comp Profiles,'Rent Comp Profiles' pulls data from 'Lease Grid'
Lease Grid MF Unit Mix,Market Rent,'Market Rent' pulls data from 'Lease Grid MF Unit Mix'
MF Market Rent,Improvements,'Improvements' pulls data from 'MF Market Rent'
MF Market Rent,MF Lease Up,'MF Lease Up' pulls data from 'MF Market Rent'
MF Market Rent,Market Rent,'Market Rent' pulls data from 'MF Market Rent'
MF Market Rent,Rent Comp Profiles,'Rent Comp Profiles' pulls data from 'MF Market Rent'
Market Rent,Assessment,'Assessment' pulls data from 'Market Rent'
Market Rent,"Contracts, History","'Contracts, History' pulls data from 'Market Rent'"
Market Rent,MF Market Rent,'MF Market Rent' pulls data from 'Market Rent'
Market Rent,Rent Comp Profiles,'Rent Comp Profiles' pulls data from 'Market Rent'
Market Rent,Sales Approach,'Sales Approach' pulls data from 'Market Rent'
Market Rent (2),MF Market Rent,'MF Market Rent' pulls data from 'Market Rent (2)'
Market Rent (3),MF Market Rent,'MF Market Rent' pulls data from 'Market Rent (3)'
NPV of AboveBelow Market Rent,Improvements,'Improvements' pulls data from 'NPV of AboveBelow Market Rent'
PartnerLists,Income Approach Setup,'Income Approach Setup' pulls data from 'PartnerLists'
PartnerLists,Land Valuation,'Land Valuation' pulls data from 'PartnerLists'
PartnerLists,Market Rent,'Market Rent' pulls data from 'PartnerLists'
PartnerLists,Sales Approach,'Sales Approach' pulls data from 'PartnerLists'
ProForma,Assessment,'Assessment' pulls data from 'ProForma'
ProForma,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'ProForma'
ProForma,DirectCapConclusion,'DirectCapConclusion' pulls data from 'ProForma'
ProForma,MF Lease Up,'MF Lease Up' pulls data from 'ProForma'
ProForma,Sales Approach,'Sales Approach' pulls data from 'ProForma'
Rent Roll,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'Rent Roll'
Rent Roll,Market Rent,'Market Rent' pulls data from 'Rent Roll'
Rent Roll Config,MF Market Rent,'MF Market Rent' pulls data from 'Rent Roll Config'
RentCompProfileSetup,Rent Comp Profiles,'Rent Comp Profiles' pulls data from 'RentCompProfileSetup'
SaleCompProfileSetup,Land Comp Profiles,'Land Comp Profiles' pulls data from 'SaleCompProfileSetup'
SaleCompProfileSetup,Sale Comp Profiles,'Sale Comp Profiles' pulls data from 'SaleCompProfileSetup'
Sales Approach,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'Sales Approach'
Sales Approach,DirectCapConclusion,'DirectCapConclusion' pulls data from 'Sales Approach'
Sales Approach,Improvements,'Improvements' pulls data from 'Sales Approach'
Sales Approach,Market Rent,'Market Rent' pulls data from 'Sales Approach'
Salient Facts,MF Lease Up,'MF Lease Up' pulls data from 'Salient Facts'
Scope,"Dates, Premises","'Dates, Premises' pulls data from 'Scope'"
Scope,DirectCapConclusion,'DirectCapConclusion' pulls data from 'Scope'
Site,Assessment,'Assessment' pulls data from 'Site'
Site,Improvements,'Improvements' pulls data from 'Site'
Value Allocation GC,Assessment,'Assessment' pulls data from 'Value Allocation GC'
Zoning,Site,'Site' pulls data from 'Zoning'
tblMarketDataInfo,Capitalization and Multipliers,'Capitalization and Multipliers' pulls data from 'tblMarketDataInfo'
